name,Country,Home Location Type,Reading Score Before Help,Reading Score After Help,School Satisfaction Before Help,School Satisfaction After Help
Melissa Garcia,USA,Rural,40.09,45.75,2,2.30906441170813
Sarah Simon,Denmark,City,47.26,59.09,4,4.60229630516934
Katie Kennedy,USA,Town,40.0,45.45,3,3.92073525764285
Christopher Clark,South Korea,City,81.13,100.0,3,3.49784287905924
Katherine Smith,Denmark,Rural,62.16,72.37,3,3.30791760288604
Kenneth Martinez,USA,City,63.99,93.52,1,1.2174391367436
Joshua Coleman,Denmark,City,40.0,46.86,4,4.51271203112789
Carl Wade,South Korea,City,44.08,54.36,3,3.46363952311245
Mark King,USA,Rural,58.14,57.16,4,4.33490561225692
Maria Castro,USA,City,51.29,60.35,4,5.0
Billy Harrison,South Korea,City,50.56,45.01,2,2.60516544139831
Deborah Moore,USA,City,46.05,57.76,5,5.0
Anthony Neal,USA,Rural,55.7,73.5,2,3.15955591257723
Timothy Wilson,USA,City,49.3,62.35,4,4.36610168401699
Mary Duffy,USA,City,64.34,71.1,2,2.42591197016798
Larry Buchanan,South Korea,Town,56.99,63.96,3,3.53483315833773
Bonnie Gallagher,USA,City,89.44,94.52,5,5.0
Amber Miles,USA,Town,64.02,86.94,5,5.0
Nicole Norris,USA,City,44.93,62.77,4,5.0
Heather Garza,USA,Town,40.0,56.64,3,3.55150219365405
Sabrina Little,USA,Town,51.96,51.44,4,4.7068739988328
Alexandra Smith,USA,Town,80.9,100.0,4,5.0
Jimmy Rogers,USA,City,46.9,46.29,3,3.87669156600871
Jessica Durham,USA,Town,61.15,75.55,3,3.59960463656606
Melissa King,USA,Town,87.95,89.84,3,3.83355144057756
Jessica Adams,USA,City,61.32,79.73,1,1.1369679807889
Tiffany Brown,Denmark,City,40.0,54.06,4,5.0
Angela Macdonald,NZ,Rural,53.12,66.1,2,2.25379406183778
Teresa Gill,USA,Rural,40.0,46.19,3,3.95460467838883
Gregory Johnson,USA,Rural,71.28,77.22,3,3.98333636437372
Sarah Cardenas,Denmark,Rural,62.3,78.83,3,3.81959380821293
Joe Miller,South Korea,City,79.37,85.91,4,4.51680025762904
Courtney Garcia,South Korea,Town,40.0,48.23,3,3.7736866143737
Terry Fox,Denmark,Town,40.0,48.57,2,2.18799583071402
Melissa Potts,South Korea,Rural,67.15,92.86,5,5.0
Christopher Pearson,USA,Town,93.21,100.0,4,4.89217175982023
Stephanie Holmes,NZ,Rural,41.23,52.11,4,4.7622456687978
Christopher Simmons,USA,Rural,43.63,40.58,5,5.0
Thomas Bates,USA,Rural,58.43,68.79,4,5.0
Matthew Patterson,NZ,City,56.95,59.17,5,5.0
Mr. Daniel Turner,NZ,Rural,87.42,100.0,3,4.2274451519021
Melissa Beard,NZ,City,40.0,43.0,5,5.0
Tonya Clark,Denmark,Rural,57.08,61.81,4,4.48898178963387
Tracie Carson,USA,Rural,40.0,49.53,3,3.63665757096352
Natasha Parker,NZ,Town,58.84,86.69,3,3.82013402223582
Heather Dixon,USA,City,64.41,75.42,3,3.21696719404929
Randall Snyder,NZ,City,52.09,67.29,3,3.1211996564919
Robert Parker,South Korea,City,62.75,79.59,3,3.30670431426802
Jeffrey Rocha,USA,Rural,46.32,50.19,4,4.85721580301382
Denise Campbell,NZ,City,58.64,67.03,3,3.70887143355403
Patricia Marshall,USA,City,63.46,72.86,4,4.68315486192064
Donald Thompson,USA,Rural,73.5,84.99,3,3.49175685791374
Harold Barnes,Denmark,Town,52.09,61.08,5,5.0
Jason Barker,NZ,Rural,53.49,61.8,5,5.0
Anthony Thompson,USA,City,78.47,100.0,3,3.61333333393125
Daniel Smith,USA,City,66.67,72.06,4,4.73369763021449
Suzanne Moore,USA,City,82.86,100.0,3,3.80261215366914
Joseph Wilson,South Korea,City,67.61,82.63,1,1.17254644966163
Tiffany Smith,NZ,City,71.78,84.28,2,2.59176817018502
Edward Smith,USA,City,67.45,74.23,3,3.63002495227861
Briana Lee,USA,City,83.78,96.44,2,2.50524606246464
Leonard Rodriguez,NZ,Rural,71.48,79.76,3,3.20988949570035
Laura Franco,USA,Rural,46.6,62.5,3,4.22653370012276
Allison Smith,South Korea,City,54.73,59.07,2,2.55960562972317
Ronald Gregory,South Korea,City,66.99,78.03,3,3.63390578351176
Jean Wright,USA,City,40.0,42.71,3,3.89422126896337
Taylor Anderson,NZ,Town,75.73,91.45,3,3.27774336450206
James Baldwin,South Korea,Town,51.09,59.01,4,3.96504947417332
Robert Howard,South Korea,Town,67.49,79.36,2,2.29179307795426
Carolyn Thompson,USA,City,42.52,41.48,4,5.0
Timothy Reed,South Korea,City,40.0,45.56,2,2.79189506768515
Heidi Wallace,USA,City,69.9,97.8,3,3.12003080914849
Ryan Young,USA,City,40.0,44.11,4,4.02964842524127
Joseph Watson,USA,Town,45.2,45.72,4,4.79100604167953
Katie Robles,USA,Town,40.0,43.79,3,3.72683175276845
Brenda Burton,South Korea,Town,77.93,100.0,4,4.38894951853403
Jack Wallace,USA,City,72.28,65.3,3,3.26626442122464
Taylor Fields,NZ,Town,81.91,97.25,2,2.19060427525975
Kathryn Montes,USA,City,56.14,64.28,4,4.94296501448834
Pamela Ferguson,USA,Town,40.0,51.36,1,1.33204774579422
Pamela Edwards,USA,Town,62.34,71.6,3,3.82962958575118
Darlene Bradford,USA,Town,46.65,57.65,3,3.8179558472754
Jennifer Johnson,USA,City,82.62,98.73,3,3.32155768984854
Richard Watts,South Korea,City,40.0,48.24,2,2.48480956255058
Bryan Mays,USA,City,72.6,78.47,2,2.24360084422721
Tiffany Mccarthy,USA,City,58.09,73.16,1,1.0
Robert Hammond,USA,City,53.08,74.57,4,5.0
Brett Holden,NZ,Rural,40.74,46.55,1,1.08768328272341
Joshua Barrett,USA,Town,70.15,76.16,1,1.15830690931325
Veronica Anderson,South Korea,Town,100.0,100.0,1,1.00598717288222
Mrs. Ashley Schneider,NZ,City,49.91,54.93,5,5.0
Rachel Sanchez,Denmark,Town,82.5,99.09,5,5.0
Kevin Ward,USA,City,49.62,63.12,1,1.13845744623137
Phillip James,South Korea,City,76.56,78.88,3,3.85625088153859
Eric Hardy,USA,City,40.0,47.45,3,3.61156431415277
Tracey Dominguez,South Korea,Town,58.93,65.03,1,1.30455444326984
Mariah Riley,South Korea,City,56.11,68.24,2,2.58790343705101
Carlos Frank,Denmark,Rural,63.36,73.28,3,3.59211447327638
Adam Peters,USA,City,40.0,55.53,3,3.55814823567142
Brian Morton,South Korea,City,52.68,68.54,3,3.8062083791703
Barbara Rogers,USA,Town,40.0,47.68,5,5.0
Nicholas Guerrero,USA,Town,64.18,62.59,3,3.47614303908853
Joshua Holt,Denmark,Town,87.91,100.0,1,1.24223629787436
Beverly Gonzalez,South Korea,Rural,57.21,75.78,3,3.39884197753309
James Riley,South Korea,City,87.77,100.0,4,4.96248327032352
Amanda Johnson,USA,City,76.41,100.0,3,3.24362927173238
Michelle Garcia,Denmark,City,48.79,60.71,1,1.01471832409752
Elaine Stewart,USA,Rural,83.13,87.58,2,2.39039542267012
Aaron Wilson,USA,Town,75.25,68.1,4,5.0
Mrs. Melissa Evans,NZ,Rural,72.26,71.14,2,2.23518366837136
Alisha Norton,South Korea,City,66.09,94.66,3,3.89304580144264
Ryan Barton,Denmark,City,59.78,62.82,3,3.12431762028923
Tonya Byrd,USA,Town,51.33,67.86,3,3.64567822508099
Mark Hardy,NZ,Rural,72.66,93.29,4,4.50631433190145
Penny Estrada,NZ,City,58.7,73.69,3,3.05796277291742
Nicole Holloway,NZ,Rural,40.0,42.57,3,3.61931208801852
Daniel Hartman,South Korea,City,40.0,44.01,4,5.0
Leah Lozano,Denmark,City,54.5,67.25,4,4.69295171623152
Richard Aguilar,NZ,City,77.31,86.81,2,2.06151606574203
Allen Phillips,NZ,Rural,85.68,80.31,4,4.70727439566823
Monica Leonard,USA,Town,80.27,95.05,3,3.92671407012494
Kyle Gonzalez,Denmark,Town,100.0,100.0,2,1.96762208687366
Thomas Johnson,USA,City,56.63,63.91,1,1.28197693065432
Elizabeth Mcguire,USA,City,49.95,55.77,4,4.15867026652183
Christy Moore,Denmark,City,77.28,81.43,1,1.0
Rhonda Kelly,USA,City,40.0,45.59,3,3.71435429700558
Zachary Anderson,South Korea,City,54.72,63.14,2,1.98663504240454
Jesse Mitchell,South Korea,Rural,53.89,62.34,3,2.89681602861925
Catherine Cox,USA,Town,54.27,60.72,4,4.07281893780271
Natasha Perez,USA,City,51.39,60.63,5,5.0
Aaron Marsh,USA,City,89.07,85.38,1,1.3611971738033
Rodney Johnson,USA,City,89.79,100.0,3,3.79415641073596
Michelle Wyatt,USA,City,58.87,81.79,3,3.70730238302879
Michael Cooper,USA,Town,57.75,79.31,4,4.77661590052215
Joanna Valencia,USA,Town,52.39,63.94,4,5.0
Ms. Teresa Rogers,NZ,City,57.49,74.7,2,2.25160721765575
Theodore Mcfarland,NZ,Town,81.37,100.0,3,3.34668769555099
Michelle Martin,NZ,Rural,63.76,72.93,1,1.02984896578064
Charles Wilson,South Korea,City,48.61,49.37,1,1.23647117498623
Anthony Santos,Denmark,Rural,94.44,100.0,2,2.31000667511172
Rebecca Livingston,NZ,Town,66.77,65.0,3,3.86317902549794
Andrew Kelly,USA,Town,56.83,79.27,4,5.0
Dr. Tom Hayes,NZ,City,40.0,44.78,4,4.3316226604263
Charles Gilmore,South Korea,Rural,40.0,43.83,4,4.74299278845564
Jade Romero,South Korea,Rural,40.0,46.08,3,3.07928618570002
Sean Martin,NZ,Town,49.61,63.15,3,3.62727363553994
Rachel Carson,USA,Town,60.72,79.42,3,3.71897086754753
John Hines,USA,City,75.42,83.59,1,1.21837018972616
Michelle Smith,South Korea,City,66.68,72.02,1,1.16731460293444
David Hendrix MD,USA,Rural,43.68,54.15,2,2.36809319037729
Sean Stein,USA,City,98.15,92.45,4,4.33749032349665
Keith Reed,USA,Rural,86.58,100.0,2,2.70030832496911
Charles Curry,USA,Town,40.0,49.78,4,5.0
Christine Gonzalez,Denmark,City,54.65,77.86,3,3.39455827743455
Adam Richards,USA,City,51.66,69.21,3,3.69285777096106
Lindsay Jimenez,USA,City,62.57,66.26,1,1.0975071067746
Kendra Singh,USA,City,77.3,96.28,4,4.78378412814015
Mandy Cuevas,USA,Town,64.68,80.17,5,5.0
Mason Wallace,USA,Rural,40.0,37.53,4,4.73270651492179
Dylan Hale,NZ,Town,47.15,57.96,2,2.1809189218895
Larry Klein,USA,Town,68.21,91.36,4,5.0
Richard Ramos,Denmark,Town,66.39,75.18,4,4.99143173646658
James Jones,USA,Rural,69.36,87.42,1,1.13615582343236
Craig Cantrell,USA,Town,55.87,65.15,4,4.70870608569029
Melissa Peters,South Korea,City,40.07,48.3,3,3.83778604060967
Tony Smith,NZ,Rural,77.65,100.0,2,2.73468556073219
Mia Wilson,USA,City,64.64,87.96,3,4.24352577561878
Michelle Burns,USA,Town,90.83,100.0,4,4.64115402437373
Laurie Terry,USA,Town,65.42,89.93,2,2.28767864243703
Erik Garcia,Denmark,City,97.97,100.0,3,3.66325544472626
Adam Moore,USA,City,41.32,50.94,3,3.97314356294945
Shirley Hamilton,NZ,Town,77.17,97.68,2,2.27545199450458
Eric Green,USA,Town,64.99,76.74,5,5.0
Elizabeth Cantu,USA,Town,40.0,47.97,4,4.90259136748202
Taylor Murphy,South Korea,City,72.21,93.5,2,2.51040578648239
Timothy Turner,NZ,City,45.24,44.81,3,3.6028307309574
Laura Rodriguez,South Korea,Rural,65.74,75.11,4,4.64886137883672
Amy Simpson,USA,Town,80.91,95.43,3,3.65241943872788
Mario Ramos II,South Korea,Rural,74.68,97.22,3,3.56995211887792
Samantha Smith,USA,City,51.0,73.23,4,4.56312412956187
Sarah Brown,USA,City,47.56,59.53,5,5.0
Joseph Berg,USA,City,40.0,43.11,3,3.88469311526582
Tara Weber,South Korea,Town,83.11,100.0,4,4.18497964870922
Steve Johnson,Denmark,Town,65.42,82.82,2,2.29388564109158
Jason Martinez,Denmark,City,40.0,45.25,3,3.08357712534224
Gregory Marks,USA,Rural,49.6,60.07,3,3.95421584494337
Laura Leach MD,Denmark,Rural,64.69,64.02,3,3.82088966691751
Melissa Contreras,USA,Town,90.8,100.0,4,5.0
Lindsay Robbins,NZ,City,54.64,64.7,1,1.23086288351839
Heather Smith,USA,City,40.0,42.97,2,2.3844768117721
Robert Mahoney,USA,Town,57.54,63.77,1,1.26585223642064
Zachary Williams,USA,City,75.05,94.79,2,2.17301899248804
Stephen Richardson,NZ,Town,60.71,69.26,3,3.27330827025438
Beverly Nolan,USA,City,62.43,62.02,3,3.48660403392251
Jeff Hill,USA,City,100.0,100.0,3,3.63005690040501
Wesley Lutz,South Korea,Town,61.17,77.81,2,2.03451000486897
Carlos Hunter,USA,Town,73.72,84.48,4,5.0
Dennis Vega,USA,Rural,67.61,82.09,3,3.28620253143785
Amanda Fisher,South Korea,City,77.5,86.41,2,2.31853043128899
Kenneth Parker,USA,City,74.56,73.07,4,4.77055324646455
Rachel Wood,USA,City,51.74,65.09,3,2.73177032071467
Shelly Wilson,USA,Town,71.74,90.41,3,3.79163518868197
Gina Mitchell,South Korea,City,56.82,69.31,2,2.79791489215434
Jeffrey Rhodes,South Korea,Rural,83.07,100.0,2,2.46823940856305
Veronica Vargas,USA,City,86.75,100.0,2,2.46575087723237
Jacob Robinson,Denmark,Town,40.0,42.45,2,2.21284023151229
Stacy Evans,USA,Rural,82.55,100.0,4,5.0
Cheryl Farrell,Denmark,City,51.72,51.19,3,3.85207557385884
Edward Dixon,Denmark,City,79.47,99.82,3,3.20610827560315
Evan Newton,USA,City,40.0,42.21,2,2.74535561497966
Brian Novak,South Korea,City,66.89,85.9,3,3.14396378413648
Christopher Fox,USA,City,82.03,100.0,4,5.0
Ann Scott,South Korea,City,62.37,73.5,2,2.55458002601095
Jeff Ortega,USA,Rural,57.55,70.0,4,4.48072365205585
Christine Rubio,South Korea,Rural,40.0,52.06,3,3.57026486610193
Michelle Page,South Korea,Town,53.82,63.58,3,3.73825274714206
Joseph Fields,NZ,Rural,40.0,52.94,2,2.41537720310528
Paul Campbell,Denmark,Rural,40.0,46.35,5,5.0
Nicholas Owens,USA,City,95.46,100.0,2,2.8823283668344
Steven Alvarado,USA,Rural,71.96,88.0,3,3.49328069623082
Barbara West,USA,Rural,40.0,50.75,3,3.4925386864321
Justin Steele,USA,Rural,40.0,44.19,2,2.30625218710798
Joshua Dunn,Denmark,Town,46.94,62.73,4,4.78908799525091
Melissa Garcia,Denmark,City,40.0,49.72,2,2.41688026537999
Michele Myers,USA,City,75.69,94.24,3,3.0936408815717
Kristen Reed,USA,Rural,100.0,100.0,3,3.79097023423365
Joseph Harvey,USA,City,62.8,65.93,1,1.04722645310351
Ashley Williams,Denmark,Rural,95.08,100.0,4,4.60856589392343
Tiffany Krause,NZ,Rural,84.72,99.32,3,3.20311073485369
Karen Banks,USA,Rural,96.72,100.0,3,3.67997056462807
Michael Collier,South Korea,City,48.77,69.99,3,3.19528767163991
Bryan Hodges,South Korea,Town,73.26,95.46,4,4.86607475591992
Sarah Torres,USA,City,76.56,70.53,4,4.72952804935874
Mr. Anthony Cox,USA,Town,46.26,52.1,4,4.6465809093395
Hayley Willis,USA,City,45.02,56.92,2,2.58862623617017
David Gallagher,USA,Rural,50.86,57.75,2,2.68807142233067
Melissa Fitzgerald,Denmark,Rural,76.51,95.54,1,1.28236910384138
Anthony Hampton,USA,City,73.54,81.89,4,4.40906174997272
Kristopher Gonzalez,South Korea,City,47.91,54.88,4,5.0
Jerry Baker,USA,Rural,59.04,76.1,5,5.0
Nathan Mcdonald,Denmark,Rural,59.38,81.02,3,4.1925638991282
Dennis Jacobs,South Korea,City,40.0,45.87,3,3.64758745339921
Andrew Skinner,Denmark,Town,42.31,49.04,3,3.8833272312047
Timothy Schwartz,USA,Town,59.06,69.02,1,1.27029600429511
Debbie Jones,Denmark,Town,46.86,49.6,4,4.90877807131246
Brittany Schmidt,USA,Rural,100.0,100.0,3,3.78585404411815
Sandra Graham,USA,City,79.75,83.51,3,3.68292850733076
Karen Mcbride,USA,Town,41.34,46.6,4,4.37415286649712
Michael Chavez,NZ,Rural,72.63,94.22,3,3.87997897537362
Lori Quinn,NZ,City,51.94,74.94,5,5.0
Justin Jenkins,South Korea,City,63.32,80.9,5,5.0
Belinda Barnes,South Korea,City,100.0,100.0,3,3.24287096868162
Sarah Mullen,USA,Rural,40.0,53.42,3,4.23524150302019
Frank Herrera,USA,Town,69.2,75.94,3,3.46596084553054
Mr. Charles Bartlett,USA,Town,50.46,55.98,2,2.84132294481249
Alexandra Dodson,USA,City,45.7,42.67,4,4.8301494843193
Michael Andrade,South Korea,City,42.0,46.52,4,5.0
Caitlyn Bell,Denmark,City,54.56,63.68,1,1.1549957158264
Haley Campos MD,NZ,Rural,42.99,53.93,2,2.48835815202404
April Smith,Denmark,Town,69.77,89.61,3,3.83042291802197
Kevin Cook,NZ,Rural,46.85,50.8,5,5.0
April Graham,South Korea,Town,40.0,46.47,4,4.29606637813103
Adam Matthews,South Korea,City,43.98,50.63,4,4.81877789196429
Jordan Newman,USA,City,72.01,99.32,1,1.19490828090598
Mary Lloyd,South Korea,Rural,76.88,99.84,3,3.94424245172613
Kenneth Hoover,USA,Town,74.57,95.13,2,2.25322990967153
Colleen Holland,Denmark,City,57.64,62.51,1,1.14394707761349
Randall Schaefer,South Korea,City,64.77,63.89,3,3.13687994066203
Willie Andrews,USA,Rural,84.87,100.0,4,4.8509917385714
Charles Francis,NZ,Rural,40.12,46.96,3,3.46424434437346
Joann Sanders,South Korea,City,40.0,49.85,1,1.27063156318762
Alexander Strickland,South Korea,Town,51.49,64.7,3,4.04993093576388
Mrs. Ashley Anderson,NZ,City,52.36,60.68,3,3.25095729335129
Emily Logan,USA,Rural,70.02,84.37,3,3.05147706757343
Lisa Torres,USA,City,40.0,47.3,3,3.70857521397107
Andrew Garcia,South Korea,City,72.06,88.08,3,3.60673015453009
John Wright,USA,City,44.29,44.85,2,2.54256429875721
Christopher Perkins,South Korea,City,49.77,55.4,4,4.65764121071942
Jeremiah Williams,USA,Town,71.59,82.25,4,4.25905389061844
Kathleen Jones,USA,City,40.0,42.79,3,3.87345719214588
Lauren Jackson,NZ,City,78.07,78.02,3,4.02491371918326
Luis Hebert,NZ,Rural,96.73,98.11,3,3.59740909880183
Sean Cross,USA,Rural,85.16,86.64,4,5.0
Brittany Anderson,USA,Rural,67.84,85.72,2,2.17147214479124
Jeffrey Wilson,South Korea,City,59.22,69.46,3,3.52326661678591
Debbie Barrett,NZ,Rural,73.41,100.0,3,3.34423224946138
Adriana Williamson,NZ,Town,59.37,63.83,4,4.57881475086753
Angela Ortega,USA,Rural,40.0,44.51,3,4.5220524300512
Wanda Roberson,USA,Town,68.86,91.79,1,1.32834524697154
Caleb Guerrero,NZ,Town,54.84,65.64,1,1.2886716818655
Patrick Miller,NZ,City,67.58,65.84,3,3.6383054371519
Antonio Kim,South Korea,Rural,70.4,99.52,2,2.57001621207268
Kim Stout,USA,City,40.0,50.72,4,4.98295992628153
Kristen Buchanan,USA,Rural,61.43,79.92,2,2.051228676669
Mr. Michael Forbes,USA,Town,82.84,93.95,3,3.70876845954445
Olivia Henson,NZ,Town,73.2,88.66,5,5.0
David Bailey,USA,Rural,71.08,87.28,3,3.87922641439648
Madison Parker,USA,City,62.35,76.58,2,2.47904659959037
Jeffrey Dodson,USA,City,71.39,85.85,3,3.1557215648116
Christy Peterson,USA,Town,80.56,90.58,3,3.54695726657375
Ryan Smith,South Korea,Rural,72.69,85.99,2,2.28441281216169
Jeffrey Ramirez,South Korea,Town,61.7,76.12,3,3.49723755333264
Stephanie Scott,USA,City,45.62,59.31,3,3.40107491705668
Cindy Johnson,USA,Rural,59.16,75.31,2,2.73319241319055
Pamela Travis,South Korea,Rural,40.0,35.62,4,4.29376819593343
Amy White,South Korea,Rural,40.0,51.86,4,5.0
Elaine Flores MD,Denmark,Town,80.5,91.96,1,1.24635608722172
Tara Moreno,South Korea,Rural,60.56,77.47,2,2.4594310682734
Heather Jackson,NZ,Rural,40.0,42.72,3,3.18668681964266
Jeremiah Simpson,NZ,Rural,49.39,59.87,3,3.02656205053878
Christina Washington,USA,Town,51.15,70.88,1,1.29978731068692
Alyssa Webb,USA,City,40.0,54.95,5,5.0
Robert Smith,USA,City,53.27,48.41,5,5.0
Carrie Anderson,NZ,City,62.58,80.39,3,3.79067028062106
David Clark,Denmark,City,68.4,87.36,3,3.79969605722173
Andrea Golden,NZ,Town,69.08,81.15,3,4.58548585869894
Jessica Jenkins,USA,Rural,65.91,85.87,2,2.23349479779762
Anthony Phillips,South Korea,City,56.35,64.75,2,2.27260610975093
Ricardo Reyes,USA,Town,54.96,64.34,4,5.0
Richard Johnston,USA,City,63.11,73.02,4,5.0
Kelly Archer,Denmark,City,63.84,78.73,1,1.17184538802332
Elizabeth Joseph,USA,Rural,49.62,58.68,3,3.57854825191124
Sydney Baker,Denmark,Rural,49.84,65.92,3,3.80683891004123
Todd Barrett,Denmark,City,57.76,85.03,3,4.10075505280166
Alan King,South Korea,City,40.0,51.34,2,2.85452623555272
Samuel Stuart,USA,Town,52.51,64.76,3,3.37172012004381
Crystal Proctor,Denmark,Town,64.68,84.84,1,1.06769044257321
Kevin Scott,USA,City,64.15,80.86,3,4.06579060255503
Matthew Fox,Denmark,Rural,64.55,91.16,4,5.0
William Bond,USA,City,53.69,61.12,4,5.0
Omar Martin,South Korea,City,51.35,60.69,3,4.11019121687015
Robin Carter,NZ,City,50.24,52.61,2,2.25250920479886
Shannon Aguilar,South Korea,Rural,70.7,95.76,3,3.32251389952949
Leah Black,USA,Rural,74.13,90.89,3,3.95267465203748
Ronald Allen,Denmark,City,40.0,47.94,3,3.43406274519636
Victoria Larson,USA,City,98.82,96.68,2,2.61641696156733
Mary Roberts,South Korea,City,90.09,90.12,1,1.09072138272478
Nathan Case,Denmark,Rural,40.0,50.82,4,4.99917181815543
James Roberts,South Korea,City,76.32,93.24,3,3.76616847200916
Michael Robinson,USA,Town,47.81,61.02,1,1.023712790784
Dr. Charles Smith DDS,USA,City,52.91,67.39,1,1.27102056213206
John Woods,South Korea,City,66.94,84.89,5,5.0
Sara Conley,Denmark,Rural,65.88,81.86,3,3.16872731168992
Brandon Taylor,South Korea,Town,40.0,46.69,4,4.24451786394192
Michael Shepherd,USA,City,44.51,53.64,4,4.81549159240898
David Ellis,USA,Town,40.0,55.09,2,2.70981207826233
Lisa Cortez,Denmark,Rural,59.89,72.24,3,3.26364307142187
Judith Bryant,South Korea,City,40.0,50.65,1,1.11266560006332
Ashley Smith,USA,City,43.29,54.74,4,5.0
Helen Bird,NZ,Rural,41.55,51.54,3,3.30873163550329
Juan Nelson,Denmark,Rural,60.87,76.97,4,4.79541462794196
Eric Rogers,Denmark,City,68.68,78.19,5,5.0
Christine Garcia,Denmark,Rural,64.9,73.53,4,5.0
Brittany Thornton,NZ,Town,60.19,83.36,3,3.42010804856911
Robin Ramirez,USA,Town,46.15,53.12,2,2.35916981234062
Wendy Short,South Korea,City,55.5,67.44,3,3.18053451752355
Patrick Owens,USA,Town,63.28,82.76,4,4.50765345558981
Jennifer Gates,South Korea,City,76.63,88.25,4,5.0
Joanna Carr,South Korea,City,65.47,76.02,4,4.9750844088098
Melissa George,NZ,City,97.5,100.0,3,3.70506215993961
Nicholas Andersen,USA,City,54.02,70.61,3,3.45454257777285
Matthew Lewis,USA,Rural,82.81,100.0,5,5.0
Bianca Rodriguez,USA,Town,40.0,48.41,2,2.31785672255542
Leslie Foster,South Korea,Town,73.6,100.0,4,5.0
Rodney West,USA,City,51.47,60.19,3,4.05757104639343
Diana Sweeney,NZ,Rural,66.49,84.51,4,5.0
David Ayala,USA,City,59.55,62.95,3,3.96344850509497
Rachel Williams,NZ,Town,40.0,52.19,5,5.0
Sherry Johnson,NZ,City,40.0,52.83,3,3.04397031243102
Katie Buck,USA,City,60.13,72.75,5,5.0
Brian Powers,Denmark,City,80.23,79.75,3,3.60235911598425
Andrew Perez,Denmark,City,62.46,62.84,4,5.0
Kendra Holmes,USA,City,59.67,68.55,2,2.609093166392
Bridget Taylor,USA,Rural,40.0,48.11,2,2.69690100852212
Anthony Pope,Denmark,Rural,40.33,40.85,2,2.3327032225016
Mark Kirk,USA,Town,48.09,65.2,4,5.0
Robert Kim,USA,City,56.81,70.87,2,2.5922856944176
Edward Sharp,Denmark,Rural,57.93,75.51,1,1.20148772638935
Shelby Bush,NZ,Rural,70.38,78.03,2,2.3154010194621
Matthew Carr,USA,City,40.0,49.79,4,4.47828982134362
Colleen Mcneil,USA,City,75.94,98.35,3,3.27381549456493
Jason Leblanc,USA,Town,78.38,89.83,5,5.0
Roger Wise,USA,Town,47.65,57.53,2,2.33246158426712
Vickie Stanton,USA,Town,49.28,47.4,2,2.38168183682755
Andrew Thomas,USA,Town,58.54,57.33,3,3.69293783460475
Amy Williams,USA,Rural,69.33,80.82,4,5.0
Kyle Cox,NZ,City,55.95,63.4,3,3.91910037976252
Scott Hernandez,South Korea,City,66.73,79.16,3,3.62701374098288
Kevin Brown,South Korea,City,91.57,97.09,3,3.47647269192338
Christopher Friedman,South Korea,City,43.98,54.04,2,2.07647484898956
David Lyons,USA,Town,78.31,100.0,3,3.92323658422299
Amber Washington,NZ,Town,40.0,41.88,3,3.93326898695835
Christine Thomas,USA,Town,65.88,85.88,1,1.2395093108035
Andrew Ramos,USA,City,80.9,100.0,3,3.39247596507338
Jessica Smith,NZ,City,59.19,65.57,4,5.0
Mr. Thomas Wilson,South Korea,Rural,40.0,49.87,4,5.0
Angela Holden,Denmark,Rural,48.33,54.0,2,2.47251423098848
Linda Mueller,USA,City,43.07,53.75,3,4.07792028312914
Kevin Aguilar,NZ,Rural,73.14,85.32,5,5.0
Richard Powell,USA,City,61.46,67.79,1,1.35303892553239
Seth Stewart,USA,City,54.76,72.87,2,2.08248208009279
Megan Bowers,NZ,Town,65.45,76.81,2,2.44276135580315
Crystal Thompson,USA,Rural,55.46,58.8,4,4.29492784618681
Andrew Allen,USA,Rural,65.81,83.7,3,3.89342484155346
Deanna Brown,USA,Town,40.0,46.86,4,5.0
Shawn Vaughn,NZ,Town,40.0,45.67,4,4.90128943265268
Duane Ferguson,South Korea,Town,57.86,69.53,3,4.60330416925413
Jonathan Fischer,Denmark,Rural,72.2,93.7,4,4.84714996772558
John Stevens,USA,City,60.61,79.42,3,3.5634080825306
Rhonda Coleman,USA,Town,40.0,45.22,2,2.62258452728724
Linda Calderon,South Korea,Town,67.31,76.51,4,4.69250516513466
Juan Cox,USA,City,83.69,80.49,3,3.4788509231894
Eric Ross,Denmark,City,88.87,100.0,1,1.21995470859698
Jessica Becker,Denmark,Town,40.0,55.39,5,5.0
Sophia Park,South Korea,Town,73.53,70.33,4,4.29209853757405
Krista Taylor,USA,Town,67.27,74.67,4,4.56440163397622
Jason Hernandez,NZ,Rural,89.63,100.0,4,4.43320127980152
Robert Thompson,USA,Town,86.15,100.0,4,4.89855964860473
Alexis Johns,USA,Rural,56.24,74.12,3,2.94141923719351
Charles Reyes,USA,Town,40.0,54.66,2,2.53490474891175
Richard Herrera,NZ,Town,40.0,42.06,2,2.33405463591496
Steven West,USA,City,52.59,55.71,4,5.0
Charlotte Jones,USA,Town,40.0,43.95,2,2.78406331287002
Margaret Young,NZ,Town,46.87,55.59,5,5.0
Andrew Mcdonald,USA,City,64.95,76.08,2,2.34642362454597
Matthew Wilson,NZ,Rural,89.03,100.0,5,5.0
Michelle Wilson,USA,Town,53.47,64.06,3,3.24288210986537
Crystal White,USA,City,40.0,54.1,3,3.12301933145226
Jennifer Gross,USA,City,63.87,86.24,2,2.37027377894057
Rachel Hudson,NZ,Town,87.68,100.0,4,5.0
