Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
Aimee Reed,66,60 to <70,USA,Right,Town,6.0,Under 7 hours,Undergraduate,Citroën,2031-01-01,96.61,103.479622438628
Nicolas Elliott,90,80+,USA,Right,Town,7.5,7 to <9 hours,Undergraduate,Renault,2031-10-01,92.59,98.6773472500573
Joshua Bell,42,40 to <50,South Korea,Right,Rural,8.0,7 to <9 hours,Undergraduate,Peugeot,2030-02-01,93.82,105.011899809124
Briana Walters,15,<20,USA,Left,City,9.0,9+ hours,No Qualifications,Mazda,2031-07-01,86.99,93.3596505974353
Lisa Sanders,28,20 to <30,Denmark,Right,Rural,8.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-10-01,95.95,98.1628848155997
Christopher Becker,28,20 to <30,USA,Right,Rural,4.5,Under 7 hours,No Qualifications,Honda,2032-05-01,94.09,103.486776174114
Tyrone Phillips,21,20 to <30,USA,Right,Town,6.5,Under 7 hours,Undergraduate,Nissan,2030-03-01,90.88,99.0549687645526
Justin Floyd,16,<20,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Citroën,2031-09-01,86.85,96.3953656095297
Sharon Shah,45,40 to <50,USA,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Tesla,2030-01-01,94.45,102.008013069215
Jessica Macdonald,69,60 to <70,NZ,Right,City,7.0,7 to <9 hours,No Qualifications,Kia,2030-11-01,98.61,95.3196484387465
Ashley Mason,16,<20,South Korea,Right,Town,10.0,9+ hours,No Qualifications,Mazda,2030-09-01,90.82,86.360080249795
Bryan Williams,51,50 to <60,USA,Right,Town,3.0,Under 7 hours,Postgraduate,Mercedes,2031-03-01,95.44,95.7641726799393
Angela Griffin,36,30 to <40,USA,Left,Rural,1.5,Under 7 hours,No Qualifications,Fiat,2031-07-01,92.77,93.5239453122685
Kenneth Mckinney,19,<20,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Renault,2032-05-01,92.45,100.204145782107
Aaron Rice MD,40,40 to <50,USA,Right,City,6.0,Under 7 hours,No Qualifications,Citroën,2030-09-01,95.64,96.4560341028898
Steven Bass,64,60 to <70,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Honda,2031-07-01,89.41,97.3214199683286
Danny White,49,40 to <50,NZ,Right,Town,10.0,9+ hours,No Qualifications,Citroën,2032-08-01,98.94,100.913974637582
Seth Summers,27,20 to <30,Denmark,Right,City,7.0,7 to <9 hours,No Qualifications,Renault,2032-03-01,90.93,93.8317357188462
Jamie Hester,69,60 to <70,Denmark,Right,Rural,6.0,Under 7 hours,No Qualifications,Renault,2031-10-01,100.66,98.2542236700142
Craig Montoya,21,20 to <30,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Mini,2030-10-01,92.37,92.3742200595537
Travis Evans,81,80+,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Hyundai,2030-10-01,95.36,111.10539814292
Renee Smith,12,<20,USA,Left,City,7.0,7 to <9 hours,No Qualifications,Toyota,2032-05-01,82.07,86.913588809467
Kevin Schultz,8,<20,USA,Ambidextrous,City,9.0,9+ hours,No Qualifications,Jaguar,2032-02-01,65.87,67.6815294411022
Stephanie Garcia,56,50 to <60,USA,Right,Rural,5.0,Under 7 hours,No Qualifications,Jaguar,2030-02-01,95.63,102.230761839039
Bridget Daniel,47,40 to <50,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Kia,2030-01-01,97.43,107.387263772755
Annette Smith,23,20 to <30,USA,Right,City,6.5,Under 7 hours,No Qualifications,Honda,2030-11-01,94.0,102.013059135505
Matthew Chan,79,70 to <80,USA,Ambidextrous,Rural,7.5,7 to <9 hours,No Qualifications,Renault,2031-08-01,96.82,100.169287850979
Lauren Riley,25,20 to <30,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Volkswagen,2030-10-01,92.84,100.971986007876
Noah Jones,39,30 to <40,USA,Ambidextrous,City,8.5,7 to <9 hours,No Qualifications,Mazda,2032-10-01,93.85,93.9078639660849
Kelly Copeland,42,40 to <50,USA,Right,City,9.0,9+ hours,Undergraduate,Toyota,2031-01-01,90.7,97.6274226565683
Eric Collins,27,20 to <30,USA,Right,Town,5.5,Under 7 hours,No Qualifications,Volkswagen,2032-11-01,94.21,109.935122213135
Bradley Morris,15,<20,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Nissan,2031-03-01,88.79,81.6062924790269
Christopher Jenkins,22,20 to <30,USA,Right,Rural,9.0,9+ hours,No Qualifications,Toyota,2032-01-01,90.28,93.4690135047724
Rebecca Walker,41,40 to <50,USA,Right,Town,5.0,Under 7 hours,No Qualifications,Hyundai,2031-06-01,95.78,100.531229866306
Anita Green,34,30 to <40,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Citroën,2030-11-01,94.2,99.7663878781014
Kevin Mitchell,44,40 to <50,NZ,Left,City,7.5,7 to <9 hours,Undergraduate,Suzuki,2031-05-01,91.21,89.7685801997567
Roy Cortez,54,50 to <60,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Mazda,2032-04-01,95.45,96.5490627135876
Kevin Padilla,55,50 to <60,South Korea,Right,Town,5.0,Under 7 hours,Undergraduate,Nissan,2031-04-01,95.06,95.06904774884
Claire Steele,23,20 to <30,USA,Right,City,9.0,9+ hours,Undergraduate,Fiat,2032-06-01,94.78,95.9280320069881
April Cain,69,60 to <70,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Mazda,2032-09-01,93.32,104.492556488461
Jacob Fisher,37,30 to <40,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2031-06-01,90.83,95.8982163771269
David Hernandez,53,50 to <60,USA,Right,Town,9.0,9+ hours,No Qualifications,Mini,2030-01-01,93.44,97.460420844848
Michael Frost,58,50 to <60,NZ,Right,Town,5.5,Under 7 hours,No Qualifications,Tesla,2030-02-01,93.88,104.744444761904
Steven Burns,81,80+,South Korea,Left,City,5.0,Under 7 hours,No Qualifications,Mini,2032-07-01,97.47,99.0058963485149
Andrea King,38,30 to <40,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Kia,2031-11-01,97.87,104.963063092313
Kaitlin Ellison,41,40 to <50,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Kia,2031-08-01,91.22,101.469236176021
John Collins,83,80+,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Citroën,2030-01-01,94.91,95.1402168800715
Joseph Marshall,55,50 to <60,USA,Right,Rural,8.0,7 to <9 hours,No Qualifications,Peugeot,2032-01-01,99.2,97.9163565977383
Mary Bush,60,60 to <70,Denmark,Ambidextrous,Town,5.5,Under 7 hours,No Qualifications,Fiat,2032-10-01,100.8,98.4406132209865
Sherry Martinez,21,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mazda,2032-07-01,89.02,94.7034622891714
David Washington,47,40 to <50,USA,Right,City,6.0,Under 7 hours,No Qualifications,Mini,2031-06-01,98.36,113.369396238636
David Buckley,77,70 to <80,USA,Right,Town,5.5,Under 7 hours,No Qualifications,Peugeot,2030-04-01,92.9,91.9990974955511
Alicia West,85,80+,South Korea,Right,Town,8.0,7 to <9 hours,Undergraduate,Renault,2031-11-01,97.95,85.6125911043299
Yesenia Smith,18,<20,USA,Ambidextrous,Town,8.5,7 to <9 hours,No Qualifications,Tesla,2031-10-01,90.05,98.3809003794108
Christine Brooks,72,70 to <80,Denmark,Left,Town,8.0,7 to <9 hours,Undergraduate,Mitsubishi,2031-09-01,97.35,107.664414102923
Michele Hernandez,78,70 to <80,NZ,Right,City,9.0,9+ hours,No Qualifications,Volkswagen,2031-02-01,98.06,116.667505181955
Paul Stafford,89,80+,NZ,Right,Rural,5.0,Under 7 hours,No Qualifications,Mercedes,2031-10-01,94.59,93.7695594476795
Michelle Terrell,23,20 to <30,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Renault,2031-06-01,90.26,97.1720447075875
Mary Adams,94,80+,Denmark,Ambidextrous,Rural,6.5,Under 7 hours,Undergraduate,Mini,2031-04-01,99.35,96.9462636501285
Todd Jones,80,80+,NZ,Right,Rural,7.5,7 to <9 hours,No Qualifications,Renault,2031-05-01,99.84,101.393865506403
Rachel Ryan,50,50 to <60,USA,Right,City,9.5,9+ hours,Undergraduate,BMW,2030-10-01,94.44,94.0720555203222
Joe Warren,78,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Toyota,2031-07-01,95.09,106.460200549855
Edward Harmon,45,40 to <50,South Korea,Right,Town,5.5,Under 7 hours,Postgraduate,Mitsubishi,2031-12-01,93.54,104.978380979361
Holly Graham MD,26,20 to <30,USA,Left,Rural,7.0,7 to <9 hours,No Qualifications,Honda,2031-05-01,90.24,104.824711995398
Joseph Baker,18,<20,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Toyota,2032-09-01,88.96,96.1513936366488
Jay Ortiz,27,20 to <30,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-04-01,93.65,100.779520849388
Amanda Taylor,67,60 to <70,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2031-02-01,96.12,96.9534413210373
Nathan Armstrong,86,80+,USA,Right,City,8.0,7 to <9 hours,Undergraduate,Hyundai,2031-02-01,94.29,103.662632660125
Melissa Hamilton,45,40 to <50,USA,Right,Town,7.0,7 to <9 hours,Undergraduate,Renault,2031-09-01,93.45,103.787083346698
Patrick Price,67,60 to <70,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Mini,2031-07-01,98.31,105.431832598098
Kevin Williams,45,40 to <50,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Kia,2032-02-01,94.65,101.785092057718
Kara Thomas,32,30 to <40,Denmark,Right,City,6.0,Under 7 hours,No Qualifications,Mini,2032-04-01,92.33,94.2795646828535
Shannon Alvarez,10,<20,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2032-06-01,74.33,80.0506665106178
Harry Shaffer,74,70 to <80,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Renault,2032-01-01,99.03,102.659344528952
Danielle Hanson,71,70 to <80,USA,Right,City,6.0,Under 7 hours,No Qualifications,Honda,2031-05-01,99.33,110.429142721613
Tyler Fisher,28,20 to <30,USA,Left,Town,6.5,Under 7 hours,No Qualifications,Renault,2030-02-01,93.29,100.18416899461
John Khan,39,30 to <40,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Nissan,2031-01-01,92.21,92.8810346032401
Vanessa Roy,49,40 to <50,USA,Right,City,9.0,9+ hours,No Qualifications,Toyota,2032-08-01,100.51,93.0838377084617
Brian Brown Jr.,53,50 to <60,South Korea,Right,Rural,9.0,9+ hours,Undergraduate,Tesla,2032-09-01,95.26,100.065813551189
Angela Reed,37,30 to <40,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Suzuki,2031-12-01,92.26,93.4793022845188
Charles Harrell,37,30 to <40,USA,Right,City,4.5,Under 7 hours,No Qualifications,Kia,2030-01-01,93.82,84.8842315021953
Melissa King,61,60 to <70,South Korea,Right,City,3.5,Under 7 hours,No Qualifications,Honda,2032-12-01,95.0,99.4491831929773
Marc Fox,30,30 to <40,South Korea,Right,City,3.0,Under 7 hours,No Qualifications,Mitsubishi,2031-05-01,91.72,83.3610193027483
Michelle Silva,9,<20,USA,Ambidextrous,City,7.5,7 to <9 hours,No Qualifications,Toyota,2031-07-01,74.45,72.3923467808419
Robert Hernandez,27,20 to <30,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Kia,2032-10-01,94.36,82.7030305126708
Carl Bates,80,80+,USA,Right,Town,7.5,7 to <9 hours,Undergraduate,Honda,2031-07-01,95.99,92.8207497383944
Mr. Ronald Goodwin,16,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-11-01,89.83,98.3108459315266
Jennifer Edwards,11,<20,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Mazda,2032-06-01,76.28,77.5936293836347
Michelle Moore,49,40 to <50,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Renault,2030-11-01,95.43,102.122014676911
Jacob Hughes,48,40 to <50,NZ,Left,City,7.5,7 to <9 hours,No Qualifications,Suzuki,2031-10-01,96.81,97.7124974854904
Megan Cooper,23,20 to <30,South Korea,Right,City,9.5,9+ hours,No Qualifications,Peugeot,2032-07-01,95.14,99.993464390271
Hannah Hall,33,30 to <40,South Korea,Right,City,9.0,9+ hours,No Qualifications,Mazda,2030-02-01,89.32,94.0208533039203
Dana Johnson,93,80+,USA,Right,City,6.5,Under 7 hours,Undergraduate,Volkswagen,2030-09-01,97.64,96.8884070875344
Nancy Vaughn,82,80+,NZ,Ambidextrous,Town,9.0,9+ hours,Postgraduate,Peugeot,2032-11-01,91.78,94.7283752602493
Karen Price,50,50 to <60,USA,Right,City,5.0,Under 7 hours,No Qualifications,Kia,2031-06-01,96.57,105.32662150333
Jacqueline Lewis,36,30 to <40,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Jaguar,2031-11-01,93.91,88.5227006105816
Joshua Potter,32,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Mazda,2030-01-01,95.41,105.228104517607
Tommy Cline,45,40 to <50,NZ,Right,City,11.5,9+ hours,Undergraduate,Volkswagen,2032-04-01,96.95,108.538539993747
Kelly Ross,9,<20,South Korea,Ambidextrous,Rural,8.5,7 to <9 hours,No Qualifications,Mini,2031-05-01,74.92,77.9914878792983
Jennifer Hobbs,23,20 to <30,NZ,Right,Rural,9.5,9+ hours,No Qualifications,Renault,2032-12-01,91.08,99.9087796996803
Dustin Davenport DVM,28,20 to <30,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Mitsubishi,2032-04-01,91.01,101.753903907786
Jennifer Cook,52,50 to <60,Denmark,Left,City,6.0,Under 7 hours,Undergraduate,Toyota,2032-10-01,92.24,92.8914305265698
Monica Cruz,9,<20,Denmark,Right,Town,9.0,9+ hours,No Qualifications,Renault,2032-10-01,77.75,78.9899421945828
Jasmine Castro,12,<20,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Nissan,2032-05-01,76.55,70.8496993833937
Lisa Gray,45,40 to <50,NZ,Right,Rural,10.5,9+ hours,No Qualifications,Toyota,2031-04-01,93.19,107.289685666668
Alicia Sexton,28,20 to <30,NZ,Left,Town,8.0,7 to <9 hours,No Qualifications,Fiat,2031-05-01,90.38,99.4560032257676
Tracy Fischer,52,50 to <60,USA,Left,City,8.0,7 to <9 hours,No Qualifications,Kia,2032-07-01,96.4,101.578082613168
Jennifer Wilkinson,21,20 to <30,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Tesla,2032-03-01,92.39,98.4232322783356
Richard Ferguson,18,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Jaguar,2032-05-01,96.26,105.913501470238
David Anderson,9,<20,USA,Left,Town,8.0,7 to <9 hours,No Qualifications,Tesla,2032-12-01,75.01,77.8844469015501
Eric Taylor,39,30 to <40,NZ,Right,Town,10.0,9+ hours,No Qualifications,Kia,2031-02-01,92.34,89.8057526771461
Melanie Bradford,50,50 to <60,USA,Right,City,5.5,Under 7 hours,Undergraduate,Toyota,2032-08-01,93.87,101.885792857393
Danny Mcdowell,20,20 to <30,USA,Ambidextrous,Town,9.0,9+ hours,Undergraduate,Toyota,2032-11-01,90.21,92.6463903430742
Sonya Peters,27,20 to <30,USA,Right,City,7.0,7 to <9 hours,No Qualifications,BMW,2031-02-01,92.94,100.468058887604
Karen Taylor,27,20 to <30,USA,Right,City,6.5,Under 7 hours,Undergraduate,Tesla,2030-09-01,92.02,106.062876189546
Jermaine Braun,86,80+,South Korea,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Nissan,2030-09-01,92.4,103.006534285915
Kelly Allen,32,30 to <40,USA,Right,City,8.0,7 to <9 hours,Undergraduate,Suzuki,2031-11-01,89.97,96.7538899366977
Shannon Friedman,64,60 to <70,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Nissan,2031-06-01,96.13,85.5063140838099
Kenneth Harris,75,70 to <80,USA,Right,Town,6.5,Under 7 hours,Undergraduate,Hyundai,2030-09-01,93.6,98.5344277197806
Sheryl Gaines,65,60 to <70,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Hyundai,2032-09-01,92.73,100.91505167239
Richard Rodriguez,73,70 to <80,USA,Right,City,6.0,Under 7 hours,No Qualifications,Jaguar,2030-03-01,97.12,109.240131989256
Eric Garrison,35,30 to <40,South Korea,Left,City,8.5,7 to <9 hours,No Qualifications,Mercedes,2032-08-01,94.91,108.725195370694
Elizabeth Coleman,33,30 to <40,USA,Left,Rural,10.0,9+ hours,No Qualifications,Suzuki,2032-02-01,91.76,102.647280376781
Elijah Sanchez,67,60 to <70,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Honda,2030-04-01,98.03,115.627552208464
Brittany Nunez,22,20 to <30,USA,Left,Rural,6.0,Under 7 hours,Undergraduate,Volkswagen,2032-04-01,94.39,99.3359447856865
Daniel Allen,23,20 to <30,USA,Right,City,10.0,9+ hours,No Qualifications,Kia,2032-02-01,88.62,98.3274636412752
Samantha Walker,31,30 to <40,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Honda,2031-01-01,90.9,87.4590596904848
Joshua Liu,30,30 to <40,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Citroën,2030-11-01,96.29,101.598476758341
Ashley Garrett,22,20 to <30,South Korea,Ambidextrous,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-07-01,90.0,87.1254938112913
Kyle Evans,48,40 to <50,NZ,Right,City,9.5,9+ hours,Undergraduate,Renault,2031-09-01,98.39,121.989688147541
William Fisher,56,50 to <60,USA,Ambidextrous,Town,5.0,Under 7 hours,No Qualifications,Volkswagen,2032-02-01,95.59,98.0388548903164
Mrs. Kathleen George,15,<20,South Korea,Right,City,9.0,9+ hours,No Qualifications,Hyundai,2031-08-01,88.45,92.4912755383538
Jacob Moore,19,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Mini,2030-01-01,97.05,111.261187573747
Jessica Harrington,53,50 to <60,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Mazda,2032-09-01,92.9,92.7400360576143
Morgan Gardner,51,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Renault,2030-09-01,90.81,91.7208672059692
James Blackburn,33,30 to <40,USA,Ambidextrous,City,7.0,7 to <9 hours,Postgraduate,Renault,2032-01-01,94.99,105.745993243803
Jessica Higgins,42,40 to <50,South Korea,Left,City,5.5,Under 7 hours,No Qualifications,Tesla,2032-10-01,94.81,101.850305374477
Sara Jordan,64,60 to <70,USA,Right,Town,10.0,9+ hours,Undergraduate,Citroën,2031-06-01,94.55,105.860558016312
Lisa Black,82,80+,USA,Left,City,8.5,7 to <9 hours,No Qualifications,Fiat,2031-03-01,94.09,108.925229633196
Miss Dominique Castro DDS,96,80+,USA,Right,Rural,8.5,7 to <9 hours,No Qualifications,Tesla,2031-09-01,98.36,103.046549478417
Leslie Petty,36,30 to <40,Denmark,Right,City,4.5,Under 7 hours,Undergraduate,Toyota,2032-02-01,96.87,89.6183715358281
Justin Christian,18,<20,USA,Right,City,10.0,9+ hours,No Qualifications,Citroën,2030-09-01,90.17,96.3865252655071
Eric Martinez,35,30 to <40,USA,Right,City,7.5,7 to <9 hours,Postgraduate,Fiat,2030-11-01,90.53,92.5427412790629
Kevin Phillips,69,60 to <70,Denmark,Right,City,3.0,Under 7 hours,No Qualifications,Citroën,2031-10-01,96.2,98.9475644593183
Patricia Johnson,41,40 to <50,NZ,Right,City,9.0,9+ hours,No Qualifications,Nissan,2031-04-01,95.59,95.7234624494747
Jordan Yates,99,80+,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mazda,2031-12-01,91.63,99.8658399291177
Rebecca Oneill,81,80+,USA,Right,City,9.0,9+ hours,Undergraduate,Mitsubishi,2030-01-01,99.36,105.45815823663
Kristin Barnett,25,20 to <30,NZ,Right,Rural,8.0,7 to <9 hours,No Qualifications,Mazda,2032-07-01,98.31,102.542532507063
Kristen Brandt,23,20 to <30,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Tesla,2031-10-01,95.28,97.2948855501051
Michael Robinson,45,40 to <50,USA,Right,City,6.5,Under 7 hours,Undergraduate,Renault,2031-05-01,93.24,99.7672693967351
Christine Johnston,36,30 to <40,Denmark,Right,Rural,4.0,Under 7 hours,No Qualifications,Tesla,2032-05-01,95.11,104.359948594633
Shawna Campbell,72,70 to <80,USA,Right,Rural,6.0,Under 7 hours,Undergraduate,Hyundai,2031-12-01,98.99,112.800315568286
Albert Garcia,50,50 to <60,NZ,Right,City,10.5,9+ hours,No Qualifications,Honda,2032-08-01,93.03,105.880062509668
Tony Lawrence,37,30 to <40,South Korea,Ambidextrous,City,6.5,Under 7 hours,No Qualifications,Fiat,2030-09-01,96.57,98.900386619788
Matthew Farley,24,20 to <30,NZ,Right,City,8.0,7 to <9 hours,No Qualifications,Porsche,2031-06-01,92.75,104.971220327721
Angela Bowman,74,70 to <80,USA,Left,Town,7.0,7 to <9 hours,No Qualifications,Citroën,2031-01-01,95.35,101.530357737993
William Jones,71,70 to <80,NZ,Right,City,5.0,Under 7 hours,No Qualifications,Suzuki,2030-01-01,93.47,106.623541764689
Todd Gibson,77,70 to <80,NZ,Right,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2031-04-01,96.37,114.663825238078
Daniel Sanchez,21,20 to <30,USA,Ambidextrous,City,6.5,Under 7 hours,No Qualifications,Mitsubishi,2032-09-01,92.29,87.5207658211293
Sherry Rogers,72,70 to <80,NZ,Right,Town,8.0,7 to <9 hours,No Qualifications,Toyota,2031-05-01,97.79,108.124719414533
Desiree Taylor,48,40 to <50,South Korea,Right,City,8.0,7 to <9 hours,Undergraduate,Kia,2031-11-01,97.16,107.606759314929
Thomas Schmidt,52,50 to <60,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Mini,2032-05-01,93.49,87.9266379766665
Justin Reed,30,30 to <40,Denmark,Right,Town,6.0,Under 7 hours,Undergraduate,Citroën,2030-04-01,93.42,84.6230847138333
Debra Martinez,98,80+,South Korea,Right,Rural,8.5,7 to <9 hours,Undergraduate,Suzuki,2032-06-01,91.73,95.9188739958213
Stacy Brown,60,60 to <70,NZ,Right,Town,10.0,9+ hours,Undergraduate,Tesla,2032-07-01,98.03,105.117837842145
Stacy Martinez,70,70 to <80,USA,Right,City,5.5,Under 7 hours,No Qualifications,Hyundai,2031-04-01,96.75,100.216378415519
Jimmy Cook,38,30 to <40,South Korea,Right,Town,6.0,Under 7 hours,No Qualifications,Tesla,2032-11-01,93.25,101.781872483108
Norma Beltran,28,20 to <30,USA,Left,City,7.0,7 to <9 hours,No Qualifications,Mazda,2031-09-01,97.56,92.6177708745792
Christopher Lang,83,80+,NZ,Right,Rural,6.0,Under 7 hours,Undergraduate,Toyota,2031-09-01,97.48,111.571787919488
Virginia Rich,95,80+,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Toyota,2032-05-01,98.64,104.484009101284
Richard Johnson,63,60 to <70,USA,Right,City,5.5,Under 7 hours,No Qualifications,Tesla,2031-04-01,96.63,102.063541629681
Reginald Ryan,84,80+,South Korea,Right,Rural,5.5,Under 7 hours,No Qualifications,Suzuki,2030-10-01,94.41,99.1905273334302
Ellen Morgan,16,<20,USA,Left,City,11.0,9+ hours,No Qualifications,Tesla,2030-02-01,88.53,89.4143033551955
Melanie Reyes,26,20 to <30,Denmark,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Toyota,2030-03-01,93.75,107.99746759852
Christy Reed,83,80+,South Korea,Right,Town,6.5,Under 7 hours,No Qualifications,Nissan,2031-04-01,98.38,105.141658482253
Amanda Yu,34,30 to <40,Denmark,Left,Rural,5.5,Under 7 hours,No Qualifications,Hyundai,2032-05-01,91.7,99.4869328707204
Richard Roberts,88,80+,USA,Left,Rural,6.0,Under 7 hours,No Qualifications,Toyota,2032-05-01,96.79,100.356981473941
Mrs. Rachel Young,89,80+,NZ,Left,City,6.5,Under 7 hours,Undergraduate,Honda,2031-03-01,96.79,104.463375437021
Andrew Long,39,30 to <40,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2031-09-01,89.55,89.6489097962212
Jordan Caldwell,27,20 to <30,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Peugeot,2032-11-01,92.11,105.892962388655
Theodore Harrison,92,80+,USA,Left,City,5.0,Under 7 hours,No Qualifications,Toyota,2031-06-01,90.23,88.1041718963945
Andrew Keller,85,80+,NZ,Right,City,9.0,9+ hours,No Qualifications,Hyundai,2032-01-01,93.35,99.0947428709517
Sarah Anderson,16,<20,Denmark,Left,City,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2032-08-01,92.37,88.9215219665955
Shelly Parker,71,70 to <80,Denmark,Right,Town,6.0,Under 7 hours,No Qualifications,Jaguar,2032-07-01,98.27,107.17734720331
Jessica Mahoney,66,60 to <70,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Kia,2032-09-01,93.94,100.643317589343
Jessica Mitchell,85,80+,USA,Left,Town,8.5,7 to <9 hours,Undergraduate,Tesla,2031-08-01,99.48,106.653756904394
Christina Taylor,40,40 to <50,Denmark,Right,City,9.5,9+ hours,No Qualifications,Toyota,2032-07-01,95.22,99.59200372484
Mary Price,80,80+,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Renault,2031-02-01,95.78,97.1116710291977
Dawn Hernandez,32,30 to <40,NZ,Right,Rural,7.0,7 to <9 hours,No Qualifications,Renault,2032-02-01,92.63,94.0754267880138
Cynthia Hoffman,12,<20,USA,Right,Rural,9.0,9+ hours,No Qualifications,Mercedes,2031-05-01,78.98,80.0511588298093
Raymond Miller,44,40 to <50,USA,Right,City,9.5,9+ hours,No Qualifications,Toyota,2031-04-01,96.8,97.3883379703908
Kerri Brooks,31,30 to <40,USA,Ambidextrous,City,7.5,7 to <9 hours,No Qualifications,Mini,2030-02-01,96.87,103.212341391235
Justin Evans,50,50 to <60,Denmark,Right,Town,3.0,Under 7 hours,No Qualifications,Honda,2032-04-01,97.11,92.9938255354039
Danielle Anderson,19,<20,South Korea,Right,City,9.5,9+ hours,No Qualifications,Renault,2032-07-01,90.44,92.4769860318832
Sara Vincent,13,<20,Denmark,Right,Rural,10.0,9+ hours,No Qualifications,Audi,2030-01-01,80.29,81.2768696081006
Jay Pearson,83,80+,South Korea,Right,City,7.5,7 to <9 hours,Undergraduate,Tesla,2032-10-01,99.87,96.6381602841691
Mike Martinez,27,20 to <30,NZ,Right,City,10.0,9+ hours,No Qualifications,Toyota,2032-11-01,90.98,92.467921581201
Tiffany Mejia,35,30 to <40,South Korea,Left,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-06-01,95.12,99.3386996523604
Krystal Moore,95,80+,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Honda,2031-10-01,95.9,110.946148125554
James Pruitt,71,70 to <80,Denmark,Ambidextrous,City,5.5,Under 7 hours,No Qualifications,Citroën,2031-10-01,89.15,97.2020874927572
Antonio Gray,19,<20,USA,Left,Rural,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2032-02-01,93.13,96.5106577602065
Holly Galloway,19,<20,South Korea,Right,City,9.5,9+ hours,No Qualifications,Hyundai,2030-01-01,94.68,92.5448361929092
Jessica Morris,74,70 to <80,South Korea,Right,Town,6.0,Under 7 hours,Undergraduate,Tesla,2032-03-01,92.86,94.8690942788892
Kimberly Evans,72,70 to <80,South Korea,Right,Rural,6.5,Under 7 hours,Undergraduate,Renault,2032-06-01,96.16,102.355276944371
